fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Bernie Sanders,Hillary Clinton,Most Votes
6015,6.5,2770,14.2,37909,21.8,1604,0,0,0,28,0,206291,7176,9,28.4,1323,1015,"('Votes', 'Bernie Sanders')"
6017,8.7,16792,28.8,69297,9,21265,0,2.4,6.5,26.9,662228,1619711,9216,190,106,9497,10367,"('Votes', 'Hillary Clinton')"
6019,21.9,42944,22.1,45563,26,58745,3.9,11.3,21.4,29.4,7827264,9808267,11022,1892,156.2,21672,32895,"('Votes', 'Hillary Clinton')"
6021,17.2,1514,21.8,43023,18.8,1903,0,0,16.6,26.1,278276,203958,7320,30,21.4,644,649,"('Votes', 'Hillary Clinton')"
6023,5.7,10437,17.5,41426,20.4,14689,0,0,0,26.9,877020,1726357,13428,234,37.7,13245,6036,"('Votes', 'Bernie Sanders')"
6025,32.3,6405,20.8,41807,23.3,10129,2.6,0,52.2,28.8,1207866,1727258,10771,246,41.8,2731,5743,"('Votes', 'Hillary Clinton')"
6027,10.4,1720,14.8,44796,12.8,1709,0,0,0,0,0,241967,13876,7,1.8,957,756,"('Votes', 'Bernie Sanders')"
6029,20.6,44753,23.6,48552,22.9,53051,4.4,0,24,31.4,9456205,7876043,10037,2297,103.3,13475,19104,"('Votes', 'Hillary Clinton')"
6031,20.1,10609,21.4,48133,21,6194,0,6.8,27.1,35,2107702,1035901,7017,434,110.1,2548,3921,"('Votes', 'Hillary Clinton')"
6033,8.6,6777,27.5,36548,25,4961,0.9,0,0,31.6,0,557902,8630,45,51.5,2704,2408,"('Votes', 'Bernie Sanders')"
6035,7,3119,19.4,53107,16.9,1829,0,0,0,20.3,0,260422,7440,6,7.7,770,690,"('Votes', 'Bernie Sanders')"
